hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
GH_FIBRESWITCH_1,acl-wifi-testing,Extended,20,permit,udp,any,host 10.64.72.10,domain
GH_FIBRESWITCH_1,acl-wifi-testing,Extended,30,permit,udp,host 10.1.103.10,host 10.1.34.10,bootps
GH_FIBRESWITCH_1,acl-wifi-testing,Extended,40,permit,udp,host 10.1.103.10,host 10.64.72.10,bootps
GH_FIBRESWITCH_1,acl-wifi-testing,Extended,50,permit,ip,any,host 10.1.28.22,
GH_FIBRESWITCH_1,acl-wifi-testing,Extended,60,permit,icmp,any,host 10.1.28.22,
GH_FIBRESWITCH_1,acl-wifi-testing,Extended,70,deny,ip,any,any,
GH_FIBRESWITCH_1,1,Standard,10,permit,,10.120.163.210,,,
GH_FIBRESWITCH_1,1,Standard,20,permit,,10.1.74.66,,,
GH_FIBRESWITCH_1,1,Standard,30,permit,,10.112.12.126,,,
GH_FIBRESWITCH_1,1,Standard,40,permit,,10.112.12.125,,,
GH_FIBRESWITCH_1,1,Standard,50,permit,,10.180.163.18,,,
GH_FIBRESWITCH_1,1,Standard,60,permit,,10.120.163.151,,,
GH_FIBRESWITCH_1,1,Standard,70,permit,,10.210.163.60,,,
GH_FIBRESWITCH_1,1,Standard,80,permit,,10.120.163.152,,,
GH_FIBRESWITCH_1,1,Standard,90,permit,,10.1.74.29,,,
GH_FIBRESWITCH_1,1,Standard,100,permit,,10.112.13.17,,,
GH_FIBRESWITCH_1,1,Standard,110,permit,,10.1.74.48,,,
GH_FIBRESWITCH_1,1,Standard,120,permit,,10.1.74.57,,,
GH_FIBRESWITCH_1,1,Standard,130,permit,,10.1.74.61,,,
GH_FIBRESWITCH_1,1,Standard,140,permit,,10.120.163.123,,,
GH_FIBRESWITCH_1,1,Standard,150,permit,,10.120.163.122,,,
GH_FIBRESWITCH_1,1,Standard,160,permit,,10.120.195.31,,,
GH_FIBRESWITCH_1,1,Standard,170,permit,,10.120.143.70,,,
GH_FIBRESWITCH_1,1,Standard,180,permit,,10.1.74.128,,,
GH_FIBRESWITCH_1,1,Standard,190,permit,,10.180.142.230,,,
GH_FIBRESWITCH_1,1,Standard,200,permit,,10.120.163.37,,,
GH_FIBRESWITCH_1,1,Standard,210,permit,,10.1.82.64 0.0.0.31,,,
GH_FIBRESWITCH_1,1,Standard,220,permit,,10.1.22.0 0.0.0.255,,,
GH_FIBRESWITCH_1,1,Standard,230,permit,,192.168.2.0 0.0.1.255,,,
GH_FIBRESWITCH_1,1,Standard,240,permit,,10.210.141.40 0.0.0.7,,,
GH_FIBRESWITCH_1,1,Standard,250,permit,,10.180.141.40 0.0.0.7,,,
GH_FIBRESWITCH_1,1,Standard,260,permit,,10.120.141.40 0.0.0.7,,,
GH_FIBRESWITCH_1,1,Standard,270,deny,,any log,,,
GH_FIBRESWITCH_1,5,Standard,10,permit,,194.74.144.0 0.0.0.255,,,
GH_FIBRESWITCH_1,5,Standard,20,permit,,194.102.6.0 0.0.0.255,,,
GH_FIBRESWITCH_1,5,Standard,30,permit,,194.102.7.0 0.0.0.255,,,
GH_FIBRESWITCH_1,5,Standard,40,permit,,194.102.8.0 0.0.0.255,,,
GH_FIBRESWITCH_1,5,Standard,50,permit,,194.102.9.0 0.0.0.255,,,
