Cartmel 1,Y,RACECOURSE,TT,10.92.26.22,10.92.27.22,DYNAMIC,DYNAMIC,wh-r_rc-cartmel_01,10.96.129.22,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-cartmel_01,10.96.15.98,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",10.96.15.96/27,10.160.249.128/27,10.161.249.128/27,10.162.249.128/27,10.163.249.128/27,10.164.249.128/27,10.165.249.128/27,10.166.249.128/27,10.167.249.128/27,,,
Cartmel 2 (Popup),Y,RACECOURSE,USES UNIT 1's ROUTER,,,,,,,,,,wh-s_rc-cartmel_01_01,10.96.15.99,WS-C2960X-24PS-L,"15.0(2)EX5, RELEASE SOFTWARE (fc1)",Same subnets as Cartmel 1,,,,,,,,,,,
Cartmel 3 (Popup),Y,RACECOURSE,,,,,,,,,,,wh-s_rc-cartmel_01_02,10.96.15.100,WS-C2960X-24PS-L,"15.2(3r)E1, RELEASE SOFTWARE (fc1)",,,,,,,,,,,,
Catterick Bridge,Y,RACECOURSE,TT,10.92.26.25,10.92.27.25,DYNAMIC,DYNAMIC,wh-r_rc-catterick_01,10.96.129.25,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-catterick_01,10.96.15.130,WS-C2960X-24PS-L,,10.96.15.128/27,10.160.249.160/27,10.161.249.160/27,10.162.249.160/27,10.163.249.160/27,10.164.249.160/27,10.165.249.160/27,10.166.249.160/27,10.167.249.160/27,,,
Cheltenham Unit 1 Members Bar,Y,RACECOURSE,TT,10.92.26.105,10.92.27.105,DYNAMIC,DYNAMIC,wh-r_rc-cheltenham_ur01,10.96.129.105,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-cheltenham_01,10.96.15.162,WS-C2960X-24PS-L,"15.0(2a)EX5, RELEASE SOFTWARE (fc3)",10.96.15.160/27,10.160.249.192/27,10.161.249.192/27,10.162.249.192/27,10.163.249.192/27,10.164.249.192/27,10.165.249.192/27,10.166.249.192/27,10.167.249.192/27,,,
Cheltenham Unit 2 Queen Mother Stand,Y,RACECOURSE,TT,10.92.26.106,10.92.27.106,DYNAMIC,DYNAMIC,wh-r_rc-cheltenham_ur02,10.96.129.106,192.168.255.1,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-cheltenham_us02,10.96.15.194,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",10.96.15.192/27,10.160.249.224/27,10.161.249.224/27,10.162.249.224/27,10.163.249.224/27,10.164.249.224/27,10.165.249.224/27,10.166.249.224/27,10.167.249.224/27,,,
Cheltenham Unit 3 Sun Centre Course,Y,RACECOURSE,TT,10.92.26.107,10.92.27.107,DYNAMIC,DYNAMIC,wh-r_rc-cheltenham_ur03,10.96.129.107,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-cheltenham_03,10.96.15.226,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",10.96.15.224/27,10.160.250.0/27,10.161.250.0/27,10.162.250.0/27,10.163.250.0/27,10.164.250.0/27,10.165.250.0/27,10.166.250.0/27,10.167.250.0/27,,,
Cheltenham Unit 4 Trophy Room,Y,RACECOURSE,TT,10.92.26.108,10.92.27.108,DYNAMIC,DYNAMIC,wh-r_rc-cheltenham_ur04,10.96.129.108,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-cheltenham_04,10.96.16.2,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",10.96.16.0/27,10.160.250.32/27,10.161.250.32/27,10.162.250.32/27,10.163.250.32/27,10.164.250.32/27,10.165.250.32/27,10.166.250.32/27,10.167.250.32/27,,,
Cheltenham Unit 4 Trophy Room Daisy Chain 1,Y,RACECOURSE,USES UNIT 4's ROUTER,,,,,,,,,,wh-s_rc-cheltenham_04_01,10.96.16.3,WS-C2960X-24PS-L,"15.0(2a)EX5, RELEASE SOFTWARE (fc3)",Same subnets as Cheltenham Unit 4 Paddock,,,,,,,,,,,
Cheltenham Unit 5 Lower Betting Hall,Y,RACECOURSE,TT,10.92.26.109,10.92.27.109,DYNAMIC,DYNAMIC,wh-r_rc-cheltenham_ur05,10.96.129.109,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-cheltenham_05,10.96.16.34,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",10.96.16.32/27,10.160.250.64/27,10.161.250.64/27,10.162.250.64/27,10.163.250.64/27,10.164.250.64/27,10.165.250.64/27,10.166.250.64/27,10.167.250.64/27,,,
